,Year,rain_octsep,rainfall
0,1980,1182,1710.6
1,1981,1098,1659.5
2,1982,1156,3247.5
3,1983,993,2893.8
4,1984,1182,2017.0
5,1985,1027,2191.4
6,1986,1151,2338.3
7,1987,1210,2319.3
8,1988,976,1685.0
9,1989,1130,1944.6
10,1990,1022,2046.9
11,1991,1151,1639.1
12,1992,1130,2678.8
13,1993,1162,2343.9
14,1994,1110,2725.6
15,1995,856,2754.4
16,1996,1047,2249.1
17,1997,1169,3343.0
18,1998,1268,2564.6
19,1999,1204,2129.1
20,2000,1239,2752.3
21,2001,1185,3091.8
22,2002,1021,2490.0
23,2003,1165,1941.9
24,2004,1095,1738.6
25,2005,1046,3214.5
26,2006,1387,2627.8
27,2007,1225,1706.9
28,2008,1139,3066.2
29,2009,1103,2182.3
30,2010,1053,2371.7
31,2011,1285,1487.2
32,2012,1090,1924.7
