Year,Avg Pressure(100P),Max Temp,Avg Temp(H),Avg Temp,Avg Temp(L),Min Temp,Rainfall(mm),sunshine(hr)
1961,1012.6,34.2,25.6,22.9,20.8,7.3,2232.4,1981.6
1962,1013.2,35.5,25.8,22.7,20.4,6,1741,2395.4
1963,1013.4,35.6,26.5,23.3,20.9,7.1,901.1,2469.7
1964,1012.7,33.9,25.7,22.9,20.5,7,2432.1,2029.6
1965,1012.8,33.4,25.9,23.1,20.9,7.3,2352.6,1990.7
1966,1012.2,34.7,26.8,23.8,21.4,7.5,2398.2,2114.8
1967,1012.8,34.4,25.9,22.9,20.4,4.6,1570.6,2090.9
1968,1012.7,35.7,25.8,22.9,20.7,5.7,2288.2,2008.7
1969,1012.8,34.7,25.7,22.7,20.5,4,1895.5,2072.6
1970,1012.5,33.6,25.5,22.8,20.5,7.6,2316.3,1844.7
1971,1013.1,33.7,25.9,22.7,20.5,5.5,1903.8,2116.6
1972,1012.4,34.7,25.9,22.8,20.7,3.8,2807.3,1852.3
1973,1012.6,33.1,26.3,23.3,21.2,7,3100.4,1750.9
1974,1012.1,34.3,25.9,22.8,20.5,4.2,2322.9,1932.6
1975,1012.6,33.9,25.6,22.8,20.7,4.3,3028.7,1713.4
1976,1013.1,35.2,25.4,22.5,20.4,5.7,2197.2,1883.5
1977,1013.5,34.9,26.4,23.3,21.1,6.2,1680,2201.3
1978,1012.7,34.2,25.6,22.8,20.7,6.9,2593,1755.2
1979,1013,33.8,25.9,23.1,21,6.1,2614.7,1831.5
1980,1013.4,35,25.9,23,20.9,5.5,1710.6,2012
1981,1013.1,33.3,25.5,23.1,21.2,9.5,1659.5,1802.9
1982,1013,34.8,25.2,22.9,21,8.9,3247.5,1785
1983,1013.7,33.9,25.4,23,21.1,6.1,2893.8,1859.4
1984,1012.5,34.4,24.9,22.5,20.7,7,2017,1701.9
1985,1012.3,33,25,22.6,20.8,8.8,2191.4,1711.2
1986,1013.1,34.8,25.3,22.8,20.8,4.8,2338.3,2014
1987,1013.9,34.2,25.7,23.4,21.6,7.6,2319.3,1878
1988,1013.1,33.8,25.1,22.8,20.9,9.5,1685,1881.9
1989,1013.1,34.3,25.3,23,21.1,7.6,1944.6,1888.5
1990,1012.9,36.1,25.4,23.1,21.2,7,2046.9,1871
1991,1013.3,34.5,25.9,23.5,21.6,4.6,1639.1,1836.6
1992,1013.3,35,25.2,22.8,20.9,8.4,2678.8,1855.5
1993,1013.6,33.5,25.5,23.1,21.2,5.4,2343.9,1859.9
1994,1012.7,34.1,25.9,23.6,21.7,7.9,2725.6,1702.5
1995,1013.7,34.2,25.2,22.8,20.9,9.2,2754.4,1836.1
1996,1013,34.3,25.6,23.3,21.3,5.8,2249.1,1811.7
1997,1013.3,33.2,25.5,23.3,21.5,10.2,3343,1558.2
1998,1012.8,34.4,26.3,24,22.1,8.9,2564.6,1665.3
1999,1011.9,35.1,26.2,23.8,21.8,5.8,2129.1,1852.6
2000,1011.9,34.2,25.5,23.3,21.5,7.2,2752.3,1864.9
2001,1012.2,34,25.8,23.6,21.8,8.9,3091.8,1784.8
2002,1012.9,33.6,26,23.9,22.1,6.8,2490,1869.8
2003,1013.2,33.7,25.8,23.6,21.9,8.8,1941.9,2116.5
2004,1013.1,34.6,25.6,23.4,21.7,7.7,1738.6,2044.1
2005,1013,35.4,25.4,23.3,21.4,6.4,3214.5,1752.3
2006,1012.7,34,25.8,23.5,21.7,8,2627.8,1773.5
2007,1012.8,35.3,26.4,23.7,21.7,10.6,1706.9,1978.7
2008,1012.8,34.6,25.8,23.1,21.1,7.9,3066.2,1878.8
2009,1012.3,34.9,26.3,23.5,21.6,9.4,2182.3,1922.8
2010,1013,34.1,25.8,23.2,21.2,5.8,2371.7,1709.3
2011,1012.8,35,25.8,23,21.1,7.2,1487.2,1978.5
2012,1011.6,34.5,25.8,23.4,21.6,7.1,1924.7,1551.2
2013,1012.7,34.9,25.9,23.3,21.4,9.2,2847.3,1769.6
2014,1013.1,34.6,26,23.5,21.5,7.3,2638.3,1903.3
2015,1013.5,36.3,26.6,24.2,22.4,10.3,1874.5,1769.6
2016,1012.8,35.6,26.1,23.6,21.7,3.1,3026.8,1567.8
2017,1013.3,36.6,26.4,23.9,22,9.8,2572.1,1873.3
